Index,sitename,antlat,antlng
1,AKL-004-002-A,-36.776493,174.558905
2,AKL-004-003-E,-36.742733,174.613569
3,AKL-004-005-D,-36.685415,174.701724
4,AKL-004-006-C,-36.815461,174.430811
5,AKL-004-007-B,-36.777648,174.495967
6,AKL-004-009-D,-36.603254,174.69257
7,AKL-004-010-B,-36.625227,174.744567
8,AKL-004-013-A,-36.617075,174.79699
9,AKL-004-014-B,-36.359666,174.798521
10,AKL-004-015-E,-36.290101,174.761366
11,AKL-004-016-B,-36.373181,174.610591
12,AKL-004-017-D,-36.401123,174.652988
13,AKL-004-018-A,-36.403988,174.717067
14,AKL-004-022-B,-36.292284,174.534642
15,AKL-004-028-A,-36.633164,174.577192
16,AKL-004-029-A,-36.625978,174.661639
17,AKL-004-036-C,-36.656611,174.664603
18,AKL-004-041-B,-36.586283,174.693149
19,AKL-004-042-B,-36.616257,174.680858
20,AKL-004-043-D,-36.626043,174.720435
21,AKL-004-044-E,-36.636441,174.747735
22,AKL-004-046-C,-36.60564,174.795756
23,AKL-004-047-D,-36.54748,174.700006
24,AKL-004-048-C,-36.631452,174.763925
25,AKL-004-050-A,-36.758756,174.60597
26,AKL-004-053-B,-36.657237,174.453381
27,AKL-004-054-B,-36.596303,174.661315
28,AKL-004-055-A,-36.631204,174.735067
29,AKL-004-059-A,-36.615054,174.476291
30,AKL-004-061-A,-36.272126,174.531931
31,AKL-004-062-A,-36.363164,174.715064
32,AKL-004-063-A,-36.417324,174.833968
33,AKL-004-065-A,-36.533496,174.687902
34,AKL-004-066-A,-36.482831,174.657836
35,AKL-004-067-A,-36.461198,174.653345
36,AKL-004-071-B,-36.570227,174.684308
37,AKL-004-072-A,-36.464478,174.555086
38,AKL-004-075-A,-36.579579,174.678267
39,AKL-004-076-A,-36.646658,174.73862
40,AKL-004-078-A,-36.76366,174.592161
41,AKL-004-079-A,-36.351713,174.471485
42,AKL-004-080-A,-36.188592,174.531544
43,AKL-004-081-A,-36.684641,174.515355
44,AKL-004-082-A,-36.71491,174.536166
45,AKL-004-083-A,-36.561249,174.535956
46,AKL-004-084-A,-36.532164,174.516229
47,AKL-004-085-A,-36.344481,174.322929
48,AKL-004-086-A,-36.768959,174.440606
49,AKL-004-087-A,-36.640896,174.630728
50,AKL-004-088-A,-36.275982,174.65555
51,AKL-004-089-A,-36.581034,174.633612
52,AKL-004-091-A,-36.597899,174.585502
53,AKL-004-092-A,-36.530616,174.644098
54,AKL-004-093-A,-36.538651,174.465053
55,AKL-004-094-A,-36.566899,174.671333
56,AKL-004-095-A,-36.758612,174.591585
57,AKL-004-096-A,-36.341814,174.733175
58,AKL-004-101-A,-36.481533,174.435075
59,AKL-004-102-A,-36.726395,174.497809
60,AKL-004-103-A,-36.521996,174.261845
