NAME,LONGITUDE,LATITUDE,ALTITUDE,COMMENT_,PYLON_HEIGHT,SUPPORT_INFO,CHANNEL_ELEMENTS_UL,CHANNEL_ELEMENTS_DL,MAX_IUB_RATE_UL,MAX_IUB_RATE_DL,CDMA_EQUIPMENT,EVDO_CES,BH_CAPACITY_DL,BH_CAPACITY_UL,STATUS,TIER,SITENAME,OPERATOR,NAMELINK,COUNCIL,PROPERTY_TYPE,RF_RANK,PROGRESS,STRUCTURE_TYPE,SITE_TYPE,TARGET_ON_AIR,CABINET_LAYOUT,CO_STATUS,SPATIAL_REGION,ONAIR,L07_ONAIR,L18_ONAIR,L09_ONAIR,L21_ONAIR,DB_RECORD_ID,HISTORY_ID,MODIFIED_BY,MODIFIED_DATE,HISTORY_STATUS,N35_ONAIR
AKL-004-002-A,2649566,6490524,,,,,,,,,,,,,,,Kumeu,2degrees,004-002,,COLO,0,,COLO,,,,,,,,,,,,,,,,
AKL-004-003-E,2654516,6494179,,,,,,,,,,,,,,,Riverhead,2degrees,004-003,,GF,0,,P7,,,,,,,,,,,,,,,,
AKL-004-005-D,2662514,6500386,,,,,,,,,,,,,,,Redvale,2degrees,004-005,,GF,0,,P3,,,,,,,,,,,,,,,,
AKL-004-006-C,2638059,6486402,,,,,,,,,,,,,,,Muriwai,2degrees,004-006,,GF,0,,P3,,,,,,,,,,,,,,,,
AKL-004-007-B,2643946,6490497,,,,,,,,,,,,,,,Waimauku,2degrees,004-007,,GF,0,,T2 20 RH,,,,,,,,,,,,,,,,
AKL-004-009-D,2661876,6509518,,,,,,,,,,,,,,,Red_Beach,2degrees,004-009,,RT,0,,RT,,,,,,,,,,,,,,,,
AKL-004-010-B,2666478,6506987,,,,,,,,,,,,,,,Whangaparaoa_LPR,2degrees,004-010,,RSR,0,,P4C,,,,,,,,,,,,,,,,
AKL-004-013-A,2671185,6507795,,,,,,,,,,,,,,,Gulf_Harbour,2degrees,004-013,,RT,0,,RT,,,,,,,,,,,,,,,,
AKL-004-014-B,2671918,6536351,,,,,,,,,,,,,,,Omaha,2degrees,004-014,,GF,0,,T2 20 RH,,,,,,,,,,,,,,,,
AKL-004-015-E,2668742,6544138,,,,,,,,,,,,,,,Leigh,2degrees,004-015,,GF,0,,T2 20 RH,,,,,,,,,,,,,,,,
AKL-004-016-B,2655025,6535187,,,,,,,,,,,,,,,Kraacks_Hill,2degrees,004-016,,GF,0,,T2 20 RF,,,,,,,,,,,,,,,,
AKL-004-017-D,2658769,6532014,,,,,,,,,,,,,,,Warkworth,2degrees,004-017,,GF,0,,T2 15 RFH,,,,,,,,,,,,,,,,
AKL-004-018-A,2664510,6531583,,,,,,,,,,,,,,,Snells_Beach,2degrees,004-018,,COLO,0,,COLO,,,,,,,,,,,,,,,,
AKL-004-022-B,2648373,6544289,,,,,,,,,,,,,,,Wellsford,2degrees,004-022,,GF,0,,SP,,,,,,,,,,,,,,,,
AKL-004-028-A,2651493,6506397,,,,,,,,,,,,,,,Waitoki,2degrees,004-028,,COLO,0,,COLO,,,,,,,,,,,,,,,,
AKL-004-029-A,2659060,6507051,,,,,,,,,,,,,,,Silverdale_Off_Ramp,2degrees,004-029,,GF,0,,T2 15 RFH,,,,,,,,,,,,,,,,
AKL-004-036-C,2659259,6503647,,,,,,,,,,,,,,,Nth_Shore_Aerodrome,2degrees,004-036,,GF,0,,T2 20 RF,,,,,,,,,,,,,,,,
AKL-004-041-B,2661965,6511400,,,,,,,,,,,,,,,Orewa,2degrees,004-041,,GF,0,,T2 20 UF,,,,,,,,,,,,,,,,
AKL-004-042-B,2660800,6508096,,,,,,,,,,,,,,,Silverdale,2degrees,004-042,,RSR,0,,P4F,,,,,,,,,,,,,,,,
AKL-004-043-D,2664318,6506940,,,,,,,,,,,,,,,Stanmore_Bay,2degrees,004-043,,GF,0,,T2 15 RFH,,,,,,,,,,,,,,,,
AKL-004-044-E,2666736,6505737,,,,,,,,,,,,,,,Manly,2degrees,004-044,,GF,0,,P4F,,,,,,,,,,,,,,,,
AKL-004-046-C,2671101,6509066,,,,,,,,,,,,,,,Army_Bay,2degrees,004-046,,RT,0,,RT,,,,,,,,,,,,,,,,
AKL-004-047-D,2662664,6515693,,,,,,,,,,,,,,,Waiwera,2degrees,004-047,,COLO,0,,,,,,,,,,,,,,,,,,
AKL-004-048-C,2668195,6506261,,,,,,,,,,,,,,,Tindalls_Beach,2degrees,004-048,,RSR,0,,P4F,,,,,,,,,,,,,,,,
AKL-004-050-A,2653804,6492414,,,,,,,,,,,,,,,Riverhead_Town,2degrees,004-050,,GF,0,,P2,,,,,,,,,,,,,,,,
AKL-004-053-B,2640375,6503924,,,,,,,,,,,,,,,Helensville,2degrees,004-053,,COLO,0,,COLO,,,,,,,,,,,,,,,,
AKL-004-054-B,2659095,6510344,,,,,,,,,,,,,,,Upper_Orewa,2degrees,004-054,,COLO,0,,COLO,,,,,,,,,,,,,,,,
AKL-004-055-A,2665615,6506341,,,,,,,,,,,,,,,Wade_Head,2degrees,004-055,,GF,0,,T2 20 RF,,,,,,,,,,,,,,,,
AKL-004-059-A,2642505,6508569,,,,,,,,,,,,,,,Kaukapakapa,2degrees,004-059,,COLO,0,,COLO,,,,,,,,,,,,,,,,
AKL-004-060-A,2643946,6508411,,,,,,,,,,,,,,,Kaukapakapa TX Only,2degrees,004-060,,COLO,0,,BO,,,,,,,,,,,,,,,,
AKL-004-061-A,2648170,6546530,,,,,,,,,,,,,,,VFRS - Te Hana,VFRS,004-061,,VRS,0,,,,,,,,,,,,,,,,,,
AKL-004-062-A,2664421,6536116,,,,,,,,,,,,,,,Matakana,2degrees,004-062,,GF,0,,T2 20 RF,,,,,,,,,,,,,,,,
AKL-004-063-A,2674963,6529887,,,,,,,,,,,,,,,Kawau_Island,2degrees,004-063,,COLO,0,,COLO,,,,,,,,,,,,,,,,
AKL-004-065-A,2661611,6517266,,,,,,,,,,,,,,,Puhoi_Bridge,2degrees,004-065,,GF,0,,T2 20 RH,,,,,,,,,,,,,,,,
AKL-004-066-A,2659028,6522940,,,,,,,,,,,,,,,Puhoi_Straights,2degrees,004-066,,GF,0,,SP,,,,,,,,,,,,,,,,
AKL-004-067-A,2658672,6525348,,,,,,,,,,,,,,,Warkworth_South,2degrees,004-067,,COLO,0,,COLO,,,,,,,,,,,,,,,,
AKL-004-068-A,2672464,6544048,,,,,,,,,,,,,,,Leigh Fisheries Repeater,2degrees,004-068,,BO,0,,OTHERS,,,,,,,,,,,,,,,,
AKL-004-071-B,2661209,6513197,,,,,,,,,,,,,,,Hatfields Beach AAU,2degrees,004-071,,RSR,0,,COLO,,9/08/2019 0:00,,,,,,,,,,,,,,
AKL-004-072-A,2649859,6525150,,,,,,,,,,,,,,,Ahuroa_RBI,2degrees,004-072,,RBI,0,,RBI Pole,,24/01/2018 0:00,,,,,,,,,,,,,,
AKL-004-075-A,2660648,6512170,,,,,,,,,,,,,,,Orewa West AAU,2degrees,004-075,,RSR,0,,SP,,26/08/2019 0:00,,,,,,,,,,,,,,
AKL-004-076-A,2665898,6504620,,,,,,,,,,,,,,,Arkles Bay AAU,2degrees,004-076,,RSR,0,,SP,,28/06/2019 0:00,,,,,,,,,,,,,,
AKL-004-078-A,2652561,6491893,,,,,,,,,,,,,,,Riverhead South AAU,2degrees,004-078,,RSR,0,,,,13/09/2019 0:00,,,,,,,,,,,,,,
AKL-004-079-A,2642585,6537796,,,,,,,,,,,,,,,Kaipara Coast Highway - RCG,RCG,004-079,,RCG,0,,,,15/07/2019 0:00,,,,,,,,,,,,,,
AKL-004-080-A,2648303,6555799,,,,,,,,,,,,,,,Te Arai - RCG,RCG,004-080,,RCG,0,,,,15/08/2019 0:00,,,,,,,,,,,,,,
AKL-004-081-A,2645861,6500786,,,,,,,,,,,,,,,Peak Road - RCG,RCG,004-081,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-082-A,2647660,6497394,,,,,,,,,,,,,,,Ararimu Valley - RCG,RCG,004-082,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-083-A,2647950,6514444,,,,,,,,,,,,,,,Makarau East - RCG,RCG,004-083,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-084-A,2646242,6517703,,,,,,,,,,,,,,,Makarau North - RCG,RCG,004-084,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-085-A,2629264,6538821,,,,,,,,,,,,,,,VFRS - Kaipara Harbour,VFRS,004-085,,VRS,0,,,,,,,,,,,,,,,,,,
AKL-004-086-A,2639021,6491547,,,,,,,,,,,,,,,VFRS - Woodhill,VFRS,004-086,,VRS,0,,,,,,,,,,,,,,,,,,
AKL-004-087-A,2656264,6505449,,,,,,,,,,,,,,,VFRS - Dairy Flat,VFRS,004-087,,VRS,0,,,,,,,,,,,,,,,,,,
AKL-004-088-A,2659268,6545894,,,,,,,,,,,,,,,Whangaripo - RCG,RCG,004-088,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-089-A,2656649,6512086,,,,,,,,,,,,,,,Weranui - RCG,RCG,004-089,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-091-A,2652309,6510296,,,,,,,,,,,,,,,Weranui South - RCG,RCG,004-091,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-092-A,2657695,6517662,,,,,,,,,,,,,,,Bayer Road Valley - RCG,RCG,004-092,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-093-A,2641647,6517064,,,,,,,,,,,,,,,Makarau,2degrees,004-093,,GF,0,,,DF5,28/02/2022 0:00,,,,,,,,,,,,,,
AKL-004-094-A,2660055,6513589,,,,,,,,,,,,,,,VFRS - Northern MWay Extn.,VFRS,004-094,,VRS,0,,,DF5,31/05/2022 0:00,,,,,,,,,,,,,,
AKL-004-095-A,2652520,6492454,,,,,,,,,,,,,,,Riverhead North AAU,2degrees,004-095,,RSR,0,,SP,AAU,16/09/2022 0:00,,,,,,,,,,,,,,
AKL-004-096-A,2666094,6538452,,,,,,,,,,,,,,,Omaha Beach AAU,2degrees,004-096,,RSR,0,,,AAU,14/10/2022 0:00,,,,,,,,,,,,,,
AKL-004-101-A,2639071,6523448,,,,,,,,,,,,,,,Glorit - RCG,RCG,004-101,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-102-A,2644211,6496181,,,,,,,,,,,,,,,Ararimu West - RCG,RCG,004-102,,RCG,0,,,,,,,,,,,,,,,,,,
AKL-004-103-A,2623480,6519209,,,,,,,,,,,,,,,South Head - RCG,RCG,004-103,,RCG,0,,,,,,,,,,,,,,,,,,
